April Collections Calls List Angaza ID,April Collections Calls List Date Called Date,April Collections Calls List Reachability
AC533423,4/4/19,Reached
AC564774,4/18/19,Reached
AC549210,4/8/19,Not Reached
AC488351,4/15/19,Not Reached
AC560088,4/3/19,Reached
AC501975,4/12/19,Not Reached
AC508740,5/3/19,Not Reached
AC565883,4/18/19,Reached
AC519435,4/10/19,Not Reached
AC514858,4/11/19,Not Reached
AC554772,4/2/19,Reached
AC518166,4/23/19,Not Reached
AC564509,4/10/19,Reached
AC547893,4/2/19,Not Reached
AC552154,4/23/19,Not Reached
AC485446,4/24/19,Not Reached
AC529146,4/8/19,Reached
AC534134,4/12/19,Not Reached
AC522722,4/15/19,Not Reached
AC551684,4/15/19,Not Reached
AC536702,4/1/19,Not Reached
AC559017,4/2/19,Not Reached
AC556335,4/1/19,Reached
AC540355,4/3/19,Not Reached
AC561812,4/16/19,Reached
AC498145,4/22/19,Not Reached
AC543411,4/24/19,Not Reached
AC542407,4/9/19,Not Reached
AC507374,4/2/19,Not Reached
AC562193,4/10/19,Not Reached
AC556120,4/15/19,Not Reached
AC518797,4/12/19,Reached
AC554316,5/3/19,Reached
AC488254,4/26/19,Not Reached
AC500769,4/10/19,Not Reached
AC490750,4/10/19,Not Reached
AC512145,4/2/19,Not Reached
AC534090,4/15/19,Not Reached
AC521478,5/1/19,Not Reached
AC486459,4/3/19,Not Reached
AC546376,4/23/19,Not Reached
AC537142,4/17/19,Not Reached
AC537145,4/3/19,Not Reached
AC514354,4/16/19,Not Reached
AC523841,4/17/19,Not Reached
AC517535,4/10/19,Reached
AC555118,4/25/19,Reached
AC550559,4/23/19,Not Reached
AC523920,4/17/19,Not Reached
AC564012,4/9/19,Not Reached
AC552782,4/10/19,Reached
AC563413,4/17/19,Not Reached
AC510873,4/9/19,Not Reached
AC543989,4/25/19,Not Reached
AC534122,4/27/19,Not Reached
AC508271,4/5/19,Not Reached
AC499635,4/25/19,Not Reached
AC533908,4/4/19,Reached
AC528229,4/17/19,Not Reached
AC502520,4/24/19,Not Reached
AC553429,4/25/19,Not Reached
AC529346,4/9/19,Not Reached
AC564099,4/26/19,Reached
AC504774,4/24/19,Not Reached
AC508451,4/8/19,Not Reached
AC511841,4/3/19,Not Reached
AC565969,4/5/19,Reached
AC508925,4/9/19,Not Reached
AC515381,4/10/19,Not Reached
AC516125,4/13/19,Not Reached
AC554267,4/2/19,Not Reached
AC563790,4/9/19,Not Reached
AC508705,4/17/19,Not Reached
AC557097,4/3/19,Not Reached
AC542783,4/1/19,Not Reached
AC526636,4/26/19,Not Reached
AC518229,4/15/19,Not Reached
AC507137,4/8/19,Reached
AC514261,4/5/19,Not Reached
AC512038,4/24/19,Not Reached
AC533465,4/15/19,Reached
AC507069,4/23/19,Not Reached
AC562367,4/10/19,Not Reached
AC510314,4/22/19,Reached
AC528203,4/15/19,Not Reached
AC508547,4/20/19,Not Reached
AC544263,4/8/19,Reached
AC562312,4/2/19,Reached
AC519075,4/25/19,Not Reached
AC543446,4/23/19,Reached
AC543359,4/1/19,Not Reached
AC490530,4/16/19,Not Reached
AC502126,4/1/19,Reached
AC522666,4/9/19,Not Reached
AC499507,5/3/19,Not Reached
AC510809,4/23/19,Not Reached
AC559900,4/3/19,Not Reached
AC498420,4/15/19,Not Reached
AC549350,4/16/19,Reached
AC506300,4/9/19,Not Reached
AC553531,4/8/19,Not Reached
AC513791,4/15/19,Not Reached
AC531952,4/12/19,Not Reached
AC511695,4/23/19,Not Reached
AC535457,4/1/19,Not Reached
AC545197,4/12/19,Not Reached
AC535688,4/24/19,Not Reached
AC517661,4/24/19,Not Reached
AC488446,4/17/19,Reached
AC518206,4/17/19,Not Reached
AC521826,4/3/19,Not Reached
AC511150,4/26/19,Reached
AC538776,4/17/19,Not Reached
AC508354,4/18/19,Reached
AC559990,4/9/19,Not Reached
AC546934,4/24/19,Not Reached
AC504818,4/23/19,Not Reached
AC531237,4/20/19,Not Reached
AC542324,4/17/19,Not Reached
AC488045,4/9/19,Not Reached
AC506023,4/23/19,Reached
AC490017,4/17/19,Reached
AC560445,4/6/19,Reached
AC502525,4/4/19,Not Reached
AC549111,4/2/19,Reached
AC563613,4/3/19,Not Reached
AC549993,4/10/19,Not Reached
AC560664,4/26/19,Reached
AC548358,4/10/19,Not Reached
AC521111,4/8/19,Not Reached
AC542088,4/10/19,Not Reached
AC558441,4/5/19,Not Reached
AC549950,4/3/19,Not Reached
AC539126,4/10/19,Not Reached
AC553049,4/2/19,Not Reached
AC519107,4/24/19,Not Reached
AC542501,4/4/19,Not Reached
AC496319,4/26/19,Not Reached
AC536677,4/29/19,Reached
AC544140,4/24/19,Not Reached
AC510764,4/3/19,Reached
AC549441,4/25/19,Not Reached
AC487594,4/23/19,Not Reached
AC497044,4/4/19,Not Reached
AC496844,4/4/19,Not Reached
AC560619,4/10/19,Not Reached
AC518483,4/24/19,Reached
AC559418,4/16/19,Not Reached
AC564351,4/8/19,Not Reached
AC532466,4/24/19,Not Reached
AC553042,4/8/19,Not Reached
AC563549,4/11/19,Not Reached
AC548326,4/13/19,Not Reached
AC537525,4/25/19,Not Reached
AC548879,4/2/19,Not Reached
AC557743,5/2/19,Reached
AC536549,4/3/19,Not Reached
AC565933,4/24/19,Not Reached
AC558770,4/15/19,Not Reached
AC499514,4/26/19,Not Reached
AC531553,4/10/19,Not Reached
AC518444,4/17/19,Reached
AC485431,4/10/19,Not Reached
AC512111,4/16/19,Reached
AC541338,4/10/19,Not Reached
AC532744,4/26/19,Reached
AC532894,4/10/19,Not Reached
AC556321,4/15/19,Not Reached
AC510647,4/9/19,Not Reached
AC524730,4/24/19,Not Reached
AC559136,4/3/19,Not Reached
AC523823,4/3/19,Not Reached
AC512585,5/1/19,Not Reached
AC537355,4/10/19,Not Reached
AC499627,4/18/19,Not Reached
AC532004,4/2/19,Not Reached
AC531637,4/15/19,Not Reached
AC510982,4/27/19,Not Reached
AC497694,4/16/19,Not Reached
AC543337,4/9/19,Not Reached
AC550687,4/17/19,Not Reached
AC505593,4/4/19,Reached
AC511348,4/8/19,Reached
AC546835,4/1/19,Not Reached
AC550332,4/2/19,Not Reached
AC564512,4/16/19,Not Reached
AC510429,4/24/19,Not Reached
AC507084,4/2/19,Not Reached
AC536588,4/15/19,Reached
AC507986,4/8/19,Reached
AC533082,4/8/19,Reached
AC485023,4/25/19,Reached
AC542564,4/8/19,Not Reached
AC546894,4/20/19,Reached
AC507229,4/10/19,Not Reached
AC552642,4/15/19,Reached
AC521062,4/24/19,Not Reached
AC549215,4/8/19,Not Reached
AC514922,5/1/19,Not Reached
AC563666,4/23/19,Not Reached
AC502059,4/22/19,Not Reached
AC560577,4/1/19,Not Reached
AC516940,4/5/19,Not Reached
AC497867,4/17/19,Not Reached
AC547965,4/3/19,Reached
AC518353,4/24/19,Not Reached
AC559425,4/22/19,Not Reached
AC530806,4/17/19,Not Reached
AC522659,4/23/19,Not Reached
AC514820,4/22/19,Not Reached
AC498965,4/8/19,Not Reached
AC528320,4/10/19,Reached
AC502349,4/24/19,Not Reached
AC528122,4/23/19,Not Reached
AC525419,4/15/19,Not Reached
AC485013,4/12/19,Not Reached
AC538950,4/1/19,Not Reached
AC543355,4/16/19,Reached
AC548225,4/16/19,Reached
AC496614,4/15/19,Not Reached
AC562174,4/9/19,Not Reached
AC544628,4/2/19,Not Reached
AC497056,4/22/19,Reached
AC552507,4/3/19,Reached
AC539957,4/10/19,Not Reached
AC511518,4/17/19,Reached
AC557182,4/10/19,Reached
AC558788,4/23/19,Not Reached
AC532672,4/9/19,Reached
AC507668,4/6/19,Reached
AC520906,4/17/19,Not Reached
AC542080,4/9/19,Not Reached
AC488467,4/17/19,Reached
AC535885,4/15/19,Reached
AC501533,4/18/19,Not Reached
AC499223,4/2/19,Not Reached
AC519579,4/8/19,Not Reached
AC563729,4/2/19,Not Reached
AC539546,4/16/19,Not Reached
AC563193,4/23/19,Not Reached
AC506478,4/24/19,Not Reached
AC539386,4/20/19,Reached
AC489499,4/4/19,Reached
AC563798,4/3/19,Reached
AC513310,4/23/19,Not Reached
AC490632,4/23/19,Not Reached
AC542578,4/4/19,Not Reached
AC520175,4/16/19,Reached
AC502205,4/17/19,Not Reached
AC500899,4/27/19,Not Reached
AC550462,4/16/19,Not Reached
AC485445,5/2/19,Reached
AC502252,4/12/19,Not Reached
AC535153,4/18/19,Reached
AC562941,4/27/19,Not Reached
AC538158,4/16/19,Not Reached
AC540774,4/8/19,Reached
AC490558,4/3/19,Not Reached
AC543672,4/23/19,Not Reached
AC515584,4/16/19,Not Reached
AC519344,4/10/19,Not Reached
AC511700,4/23/19,Not Reached
AC534981,4/15/19,Reached
AC490244,4/1/19,Not Reached
AC523882,4/25/19,Reached
AC484775,4/22/19,Not Reached
AC500141,4/4/19,Not Reached
AC543381,4/17/19,Not Reached
AC552777,4/25/19,Not Reached
AC544568,4/16/19,Not Reached
AC530798,4/23/19,Not Reached
AC540256,4/8/19,Reached
AC543799,4/10/19,Reached
AC503275,4/16/19,Not Reached
AC544979,4/16/19,Not Reached
AC531904,4/23/19,Not Reached
AC512634,4/25/19,Not Reached
AC536982,4/9/19,Reached
AC543782,4/24/19,Not Reached
AC512733,4/8/19,Reached
AC501745,4/4/19,Reached
AC521484,4/12/19,Not Reached
AC540201,4/15/19,Not Reached
AC519079,4/27/19,Reached
AC529481,4/9/19,Reached
AC532575,4/25/19,Not Reached
AC517008,4/18/19,Reached
AC515846,4/17/19,Not Reached
AC518767,4/23/19,Not Reached
AC558818,4/24/19,Not Reached
AC550817,4/15/19,Not Reached
AC510270,4/2/19,Not Reached
AC490368,4/1/19,Not Reached
AC559967,4/18/19,Reached
AC517231,4/2/19,Not Reached
AC520015,4/3/19,Not Reached
AC520221,4/23/19,Not Reached
AC540585,5/2/19,Reached
AC538990,4/15/19,Reached
AC542462,4/2/19,Not Reached
AC509672,4/3/19,Not Reached
AC537023,4/9/19,Not Reached
AC534073,4/18/19,Reached
AC500783,4/12/19,Not Reached
AC489927,4/23/19,Reached
AC497040,4/13/19,Not Reached
AC521555,4/3/19,Not Reached
AC517856,4/17/19,Not Reached
AC535615,4/24/19,Not Reached
AC550454,4/25/19,Not Reached
AC507950,4/2/19,Reached
AC545189,4/15/19,Not Reached
AC553630,4/23/19,Not Reached
AC562680,4/20/19,Not Reached
AC534138,4/16/19,Not Reached
AC552295,4/25/19,Not Reached
AC499333,4/29/19,Not Reached
AC509934,4/18/19,Not Reached
AC505894,4/20/19,Not Reached
AC562682,4/25/19,Not Reached
AC489913,4/22/19,Not Reached
AC530212,4/16/19,Reached
AC545176,4/24/19,Reached
AC544822,4/17/19,Not Reached
AC561939,4/23/19,Not Reached
AC490216,4/24/19,Not Reached
AC554931,5/3/19,Reached
AC517539,4/24/19,Not Reached
AC514541,4/2/19,Reached
AC515481,4/17/19,Not Reached
AC513545,4/26/19,Not Reached
AC537796,4/17/19,Not Reached
AC526649,4/11/19,Not Reached
AC525528,4/9/19,Not Reached
AC498583,4/23/19,Not Reached
AC516823,4/15/19,Reached
AC549673,4/29/19,Reached
AC558343,4/9/19,Not Reached
AC506864,4/23/19,Reached
AC542491,4/25/19,Not Reached
AC500563,4/12/19,Reached
AC502701,4/24/19,Reached
AC529456,4/23/19,Not Reached
AC551078,4/9/19,Reached
AC531257,4/26/19,Reached
AC507192,4/2/19,Not Reached
AC543470,4/29/19,Reached
AC498766,4/12/19,Not Reached
AC558091,4/23/19,Not Reached
AC554894,4/23/19,Not Reached
AC559681,4/23/19,Not Reached
AC519197,4/2/19,Not Reached
AC492753,4/11/19,Reached
AC550202,4/3/19,Not Reached
AC509568,4/24/19,Not Reached
AC520500,4/17/19,Not Reached
AC520368,4/8/19,Not Reached
AC510998,4/2/19,Not Reached
AC536177,4/15/19,Not Reached
AC517433,5/1/19,Not Reached
AC488475,4/11/19,Reached
AC516388,4/26/19,Not Reached
AC498098,4/1/19,Not Reached
AC564348,4/17/19,Not Reached
AC525374,4/6/19,Not Reached
AC546311,4/15/19,Not Reached
AC543516,4/11/19,Reached
AC564670,4/25/19,Reached
AC546338,4/9/19,Not Reached
AC562995,4/24/19,Not Reached
AC527423,4/24/19,Reached
AC542557,4/23/19,Reached
AC506639,4/23/19,Not Reached
AC528271,4/11/19,Reached
AC515949,4/25/19,Not Reached
AC556083,4/11/19,Not Reached
AC549507,4/11/19,Reached
AC508333,4/15/19,Not Reached
AC553908,4/2/19,Not Reached
AC530429,4/23/19,Not Reached
AC504940,4/9/19,Not Reached
AC506257,4/24/19,Not Reached
AC500171,4/2/19,Not Reached
AC535855,4/15/19,Reached
AC489336,4/1/19,Reached
AC564216,4/4/19,Not Reached
