Accounts Account Status,Accounts Angaza ID,Accounts Area,Accounts Country,Accounts Date of Disablement Utc Date,Accounts Date of Latest Payment Utc Date,Accounts Date of Registration Date,Accounts Days Disabled,Accounts Days to Cutoff,Accounts Disabled (Yes / No),Accounts Minimum Payment Amount,Accounts Minimum Payment Amount USD,Accounts Price per Day,Accounts Price per Day USD,Accounts Product Name,Accounts Region,Accounts Registering User Angaza ID,Accounts Unit Age Days,Accounts Unit Proportional Age,Accounts Unlock Price,Accounts Unlock Price USD,Accounts Upfront Days Included,Accounts Upfront Price,Accounts Upfront Price USD,Accounts Zone
UNLOCKED,AC544929,Kisii,Kenya,,9/17/19,6/15/18,,,No,40,0.43885313,50,0.44,Home 60 + Radio,Coast,US011687,461,1.6,"14,135",138,7,"1,900",18.5293544,East
UNLOCKED,AC538064,Myaung Mya,Myanmar (Burma),,6/11/18,6/11/18,,,No,0,0,0,,Non_EasyBuy + Stove,Eastern,US019038,465,,"59,650",38,7,"59,700",38.03393798,East
UNLOCKED,AC530754,Bariadi,Tanzania,,2/25/19,6/5/18,,,No,450,0.195045836,460,0.2,Boom,North Rift,US014600,471,1.7,"149,560",65,7,"26,900",11.70275015,East
UNLOCKED,AC554395,Delta,Nigeria,,3/19/19,6/23/18,,,No,70,0.195045836,70,0.2,Boom,North Rift,US022502,453,1.6,"23,695",65,7,"4,300",11.70275015,East
ENABLED,AC490505,Nyeri,Kenya,9/20/19,9/18/19,5/5/18,,2.21,No,40,0.43885313,50,0.44,Home 60 + Radio,Rift Valley,US019850,502,1.8,"14,135",138,7,"1,900",18.5293544,East
UNLOCKED,AC539238,Purwa,India,,5/28/19,6/11/18,,,No,30,0.43885313,30,0.44,Home 60 + Radio,Rift Valley,US020496,465,1.7,"9,925",138,7,"1,300",18.5293544,East
DISABLED,AC564757,Kisii,Kenya,10/16/18,10/5/18,6/30/18,338,-337.85,Yes,40,0.43885313,50,0.44,Home 60 + Radio,Coast,US015823,446,1.6,"14,135",138,7,"1,900",18.5293544,East
DISABLED,AC500468,Bago,Myanmar (Burma),9/8/19,9/7/19,5/11/18,10,-10.01,Yes,540,0.341330213,530,0.34,Home 60 + Radio,Central,US016802,496,1.3,"224,475",143,7,"29,100",18.5293544,West
ENABLED,AC502945,Malindi,Kenya,9/19/19,9/18/19,5/14/18,,1.11,No,40,0.43885313,50,0.44,Home 60 + Radio,Nyanza,US019782,493,1.8,"14,135",138,7,"1,900",18.5293544,West
UNLOCKED,AC538557,Kisumu,Kenya,,3/31/19,6/11/18,,,No,20,0.240051211,20,0.24,Boom,Central,US006888,465,1.7,"7,785",76,7,"1,100",10.66894271,
UNLOCKED,AC511652,Katito,Kenya,,4/7/19,5/20/18,,,No,40,0.434820419,40,0.43,Home 60,Lake Zone,US014307,487,1.9,"12,495",122,7,"1,600",15.21871467,
ENABLED,AC510005,Malindi,Kenya,9/19/19,9/18/19,5/18/18,,1.11,No,40,0.43885313,50,0.44,Home 60 + Radio,Nyanza,US000899,489,1.7,"14,135",138,7,"1,900",18.5293544,West
UNLOCKED,AC563174,Lira,Uganda,,5/18/19,6/29/18,,,No,1650,0.43885313,1650,0.44,Home 60 + Radio,South Nyanza,US019604,447,1.6,"517,705",138,7,"69,500",18.5293544,West
UNLOCKED,AC524388,Kaduna,Nigeria,,5/31/18,5/31/18,,,No,0,0,0,,Home 120,Dry Zone,US021252,476,,"32,440",89,7,"32,500",89.18617614,
DISABLED,AC549767,Kitale,Kenya,6/20/19,6/19/19,6/20/18,91,-90.54,Yes,40,0.43885313,50,0.44,Home 60 + Radio,Western,US008529,456,1.6,"14,135",138,7,"1,900",18.5293544,West
DISABLED,AC506098,Kampala,Uganda,7/16/19,7/15/19,5/16/18,65,-65.02,Yes,1650,0.43885313,1650,0.44,Home 60 + Radio,Eastern,US010785,491,1.8,"517,705",138,7,"69,500",18.5293544,East
